IDvehicle,Vehicle type,Date,Time
1,car,02-12-2021,08:00:02
2,car,02-12-2021,08:00:02
3,car,02-12-2021,08:00:02
4,car,02-12-2021,08:00:05
5,car,02-12-2021,08:00:05
6,car,02-12-2021,08:00:08
7,car,02-12-2021,08:00:09
8,car,02-12-2021,08:00:09
9,truck,02-12-2021,08:00:22
10,truck,02-12-2021,08:00:26
11,truck,02-12-2021,08:00:26
12,car,02-12-2021,08:00:28
13,truck,02-12-2021,08:00:35
14,car,02-12-2021,08:00:41
15,car,02-12-2021,08:00:46
16,car,02-12-2021,08:00:46
17,car,02-12-2021,08:00:49
18,car,02-12-2021,08:00:53
19,car,02-12-2021,08:00:54
20,car,02-12-2021,08:00:56
21,car,02-12-2021,08:01:19
22,truck,02-12-2021,08:01:23
23,car,02-12-2021,08:01:54
24,car,02-12-2021,08:01:54
25,truck,02-12-2021,08:02:13
26,truck,02-12-2021,08:02:14
27,car,02-12-2021,08:02:29
28,car,02-12-2021,08:02:34
29,truck,02-12-2021,08:02:45
30,car,02-12-2021,08:02:50
31,car,02-12-2021,08:02:53
32,truck,02-12-2021,08:02:56
33,truck,02-12-2021,08:02:56
34,car,02-12-2021,08:02:59
35,truck,02-12-2021,08:03:03
36,truck,02-12-2021,08:03:03
37,truck,02-12-2021,08:03:03
38,car,02-12-2021,08:03:04
39,car,02-12-2021,08:03:04
40,car,02-12-2021,08:03:05
41,car,02-12-2021,08:03:05
42,truck,02-12-2021,08:03:07
43,car,02-12-2021,08:03:10
44,car,02-12-2021,08:03:17
45,car,02-12-2021,08:03:23
46,car,02-12-2021,08:03:28
47,car,02-12-2021,08:03:30
48,car,02-12-2021,08:03:32
49,car,02-12-2021,08:03:34
50,car,02-12-2021,08:03:38
51,truck,02-12-2021,08:03:40
52,truck,02-12-2021,08:03:40
53,car,02-12-2021,08:03:41
54,car,02-12-2021,08:03:41
55,truck,02-12-2021,08:03:42
56,car,02-12-2021,08:04:10
57,car,02-12-2021,08:04:10
58,car,02-12-2021,08:04:29
59,car,02-12-2021,08:04:33
60,car,02-12-2021,08:04:56
61,car,02-12-2021,08:04:56
62,car,02-12-2021,08:04:56
63,car,02-12-2021,08:04:56
64,car,02-12-2021,08:05:02
65,car,02-12-2021,08:05:06
66,car,02-12-2021,08:05:10
67,car,02-12-2021,08:05:15
68,car,02-12-2021,08:05:21
69,car,02-12-2021,08:05:23
70,truck,02-12-2021,08:05:25
71,truck,02-12-2021,08:05:25
72,truck,02-12-2021,08:05:25
73,car,02-12-2021,08:05:28
74,car,02-12-2021,08:05:28
75,car,02-12-2021,08:05:47
76,truck,02-12-2021,08:05:48
