IDvehicle,Vehicle type,Date,Time
266,car,13/1/2022,74715
267,car,13/1/2022,74719
268,car,13/1/2022,74719
269,car,13/1/2022,74755
270,car,13/1/2022,74755
273,truck,13/1/2022,74833
274,car,13/1/2022,74833
275,car,13/1/2022,74833
276,car,13/1/2022,74915
277,car,13/1/2022,74915
278,car,13/1/2022,74923
279,car,13/1/2022,74923
280,car,13/1/2022,74924
281,car,13/1/2022,74924
282,car,13/1/2022,74933
283,truck,13/1/2022,74933
284,truck,13/1/2022,74933
285,car,13/1/2022,74946
286,car,13/1/2022,74950
287,car,13/1/2022,74950
290,bus,13/1/2022,74954
291,bus,13/1/2022,74954
292,car,13/1/2022,74957
293,car,13/1/2022,75001
294,car,13/1/2022,75001
295,car,13/1/2022,75001
296,car,13/1/2022,75001
297,car,13/1/2022,75001
298,car,13/1/2022,75001
299,car,13/1/2022,75001
300,car,13/1/2022,75002
301,truck,13/1/2022,75040
302,truck,13/1/2022,75040
303,truck,13/1/2022,75040
304,car,13/1/2022,75041
305,car,13/1/2022,75041
306,car,13/1/2022,75044
307,car,13/1/2022,75044
308,car,13/1/2022,75110
309,car,13/1/2022,"4
"
310,car,13/1/2022,"4
"
312,car,13/1/2022,75120
313,car,13/1/2022,75255
314,car,13/1/2022,75400
315,car,13/1/2022,75400
316,car,13/1/2022,75415
317,car,13/1/2022,75415
318,car,13/1/2022,75416
319,car,13/1/2022,75416
320,car,13/1/2022,75444
321,car,13/1/2022,75444
322,car,13/1/2022,75444
323,car,13/1/2022,75444
324,car,13/1/2022,75518
325,car,13/1/2022,75518
326,car,13/1/2022,75524
327,car,13/1/2022,75535
328,car,13/1/2022,75535
329,car,13/1/2022,75538
330,car,13/1/2022,75543
331,car,13/1/2022,75543
332,car,13/1/2022,75543
333,car,13/1/2022,75548
334,car,13/1/2022,75548
335,car,13/1/2022,75548
336,car,13/1/2022,75548
337,car,13/1/2022,75548
338,car,13/1/2022,75551
339,car,13/1/2022,75551
340,car,13/1/2022,75551
341,car,13/1/2022,75555
342,car,13/1/2022,75555
343,car,13/1/2022,75555
344,car,13/1/2022,75559
345,car,13/1/2022,75639
