IDvehicle,Vehicle type,Date,Time
1,car,02-12-2021,08:00:02
2,car,02-12-2021,08:00:02
3,car,02-12-2021,08:00:02
4,car,02-12-2021,08:00:05
5,car,02-12-2021,08:00:05
6,car,02-12-2021,08:00:08
7,car,02-12-2021,08:00:09
8,car,02-12-2021,08:00:09
9,truck,02-12-2021,08:00:22
10,truck,02-12-2021,08:00:26
11,truck,02-12-2021,08:00:26
12,car,02-12-2021,08:00:28
13,car,02-12-2021,08:00:34
14,car,02-12-2021,08:00:34
15,car,02-12-2021,08:00:34
16,truck,02-12-2021,08:00:35
17,car,02-12-2021,08:00:41
18,car,02-12-2021,08:00:44
19,car,02-12-2021,08:00:46
20,car,02-12-2021,08:00:46
21,car,02-12-2021,08:00:49
22,car,02-12-2021,08:00:53
23,car,02-12-2021,08:00:54
24,car,02-12-2021,08:00:56
25,car,02-12-2021,08:01:19
26,truck,02-12-2021,08:01:23
27,car,02-12-2021,08:01:54
28,car,02-12-2021,08:01:54
29,truck,02-12-2021,08:02:13
30,truck,02-12-2021,08:02:14
31,car,02-12-2021,08:02:29
32,car,02-12-2021,08:02:34
33,car,02-12-2021,08:02:35
34,truck,02-12-2021,08:02:45
35,truck,02-12-2021,08:02:45
36,car,02-12-2021,08:02:50
37,car,02-12-2021,08:02:53
38,truck,02-12-2021,08:02:56
39,truck,02-12-2021,08:02:56
40,car,02-12-2021,08:02:59
41,truck,02-12-2021,08:03:03
42,truck,02-12-2021,08:03:03
43,truck,02-12-2021,08:03:03
44,car,02-12-2021,08:03:04
45,car,02-12-2021,08:03:04
46,car,02-12-2021,08:03:05
47,car,02-12-2021,08:03:05
48,truck,02-12-2021,08:03:07
49,car,02-12-2021,08:03:10
50,car,02-12-2021,08:03:12
51,car,02-12-2021,08:03:16
52,car,02-12-2021,08:03:17
53,car,02-12-2021,08:03:17
54,car,02-12-2021,08:03:21
55,car,02-12-2021,08:03:23
56,car,02-12-2021,08:03:23
57,car,02-12-2021,08:03:28
58,car,02-12-2021,08:03:30
59,car,02-12-2021,08:03:32
60,car,02-12-2021,08:03:34
61,car,02-12-2021,08:03:36
62,car,02-12-2021,08:03:38
63,truck,02-12-2021,08:03:40
64,truck,02-12-2021,08:03:40
65,car,02-12-2021,08:03:41
66,car,02-12-2021,08:03:41
67,truck,02-12-2021,08:03:42
68,car,02-12-2021,08:04:10
69,car,02-12-2021,08:04:10
70,car,02-12-2021,08:04:10
71,car,02-12-2021,08:04:29
72,car,02-12-2021,08:04:33
73,car,02-12-2021,08:04:56
74,car,02-12-2021,08:04:56
75,car,02-12-2021,08:04:56
76,car,02-12-2021,08:04:56
77,car,02-12-2021,08:04:59
78,car,02-12-2021,08:05:02
79,car,02-12-2021,08:05:06
80,truck,02-12-2021,08:05:06
81,truck,02-12-2021,08:05:08
82,car,02-12-2021,08:05:10
83,car,02-12-2021,08:05:13
84,car,02-12-2021,08:05:13
85,car,02-12-2021,08:05:13
86,car,02-12-2021,08:05:13
87,car,02-12-2021,08:05:15
88,car,02-12-2021,08:05:21
89,car,02-12-2021,08:05:23
90,truck,02-12-2021,08:05:25
91,truck,02-12-2021,08:05:25
92,truck,02-12-2021,08:05:25
93,car,02-12-2021,08:05:28
94,car,02-12-2021,08:05:28
95,truck,02-12-2021,08:05:46
96,car,02-12-2021,08:05:47
97,truck,02-12-2021,08:05:48
