IDvehicle,Vehicle type,Date,Time
1,car,02-12-2021,08:00:02
2,car,02-12-2021,08:00:02
3,car,02-12-2021,08:00:02
4,car,02-12-2021,08:00:05
5,car,02-12-2021,08:00:05
6,car,02-12-2021,08:00:08
7,car,02-12-2021,08:00:09
8,car,02-12-2021,08:00:09
9,truck,02-12-2021,08:00:22
10,truck,02-12-2021,08:00:26
11,truck,02-12-2021,08:00:26
12,car,02-12-2021,08:00:28
13,car,02-12-2021,08:00:34
14,car,02-12-2021,08:00:34
15,car,02-12-2021,08:00:34
16,truck,02-12-2021,08:00:35
17,car,02-12-2021,08:00:41
18,car,02-12-2021,08:00:44
19,car,02-12-2021,08:00:46
20,car,02-12-2021,08:00:49
21,car,02-12-2021,08:00:53
22,car,02-12-2021,08:00:54
23,car,02-12-2021,08:01:19
24,truck,02-12-2021,08:01:23
25,car,02-12-2021,08:01:54
26,car,02-12-2021,08:01:54
27,truck,02-12-2021,08:02:13
28,truck,02-12-2021,08:02:14
29,car,02-12-2021,08:02:29
30,car,02-12-2021,08:02:34
31,car,02-12-2021,08:02:35
32,truck,02-12-2021,08:02:45
33,truck,02-12-2021,08:02:45
34,car,02-12-2021,08:02:50
35,car,02-12-2021,08:02:53
36,truck,02-12-2021,08:02:56
37,truck,02-12-2021,08:02:56
38,car,02-12-2021,08:02:59
39,truck,02-12-2021,08:03:03
40,truck,02-12-2021,08:03:03
41,truck,02-12-2021,08:03:03
42,car,02-12-2021,08:03:04
43,car,02-12-2021,08:03:04
44,car,02-12-2021,08:03:05
45,car,02-12-2021,08:03:05
46,truck,02-12-2021,08:03:07
47,car,02-12-2021,08:03:10
48,car,02-12-2021,08:03:16
49,car,02-12-2021,08:03:17
50,car,02-12-2021,08:03:17
51,car,02-12-2021,08:03:21
52,car,02-12-2021,08:03:23
53,car,02-12-2021,08:03:23
54,car,02-12-2021,08:03:28
55,car,02-12-2021,08:03:30
56,car,02-12-2021,08:03:32
57,car,02-12-2021,08:03:34
58,car,02-12-2021,08:03:36
59,car,02-12-2021,08:03:38
60,truck,02-12-2021,08:03:40
61,truck,02-12-2021,08:03:40
62,car,02-12-2021,08:03:41
63,car,02-12-2021,08:03:41
64,truck,02-12-2021,08:03:42
65,car,02-12-2021,08:04:10
66,car,02-12-2021,08:04:10
67,car,02-12-2021,08:04:10
68,car,02-12-2021,08:04:29
69,car,02-12-2021,08:04:56
70,car,02-12-2021,08:04:56
71,car,02-12-2021,08:04:56
72,car,02-12-2021,08:04:56
73,car,02-12-2021,08:04:59
74,car,02-12-2021,08:05:02
75,car,02-12-2021,08:05:06
76,truck,02-12-2021,08:05:06
77,truck,02-12-2021,08:05:08
78,car,02-12-2021,08:05:10
79,car,02-12-2021,08:05:13
80,car,02-12-2021,08:05:13
81,car,02-12-2021,08:05:13
82,car,02-12-2021,08:05:13
83,car,02-12-2021,08:05:15
84,car,02-12-2021,08:05:21
85,car,02-12-2021,08:05:23
86,truck,02-12-2021,08:05:25
87,truck,02-12-2021,08:05:25
88,truck,02-12-2021,08:05:25
89,car,02-12-2021,08:05:28
90,car,02-12-2021,08:05:28
91,truck,02-12-2021,08:05:46
92,car,02-12-2021,08:05:47
93,truck,02-12-2021,08:05:48
