IDvehicle,Vehicle type,Date,Time
1,car,02-12-2021,08:00:02
2,car,02-12-2021,08:00:02
3,car,02-12-2021,08:00:02
4,car,02-12-2021,08:00:05
5,car,02-12-2021,08:00:05
6,car,02-12-2021,08:00:09
7,car,02-12-2021,08:00:09
8,truck,02-12-2021,08:00:22
9,truck,02-12-2021,08:00:26
10,truck,02-12-2021,08:00:26
11,car,02-12-2021,08:00:28
12,car,02-12-2021,08:00:34
13,truck,02-12-2021,08:00:35
14,car,02-12-2021,08:00:41
15,car,02-12-2021,08:00:44
16,car,02-12-2021,08:00:46
17,car,02-12-2021,08:00:49
18,car,02-12-2021,08:00:53
19,car,02-12-2021,08:00:54
20,car,02-12-2021,08:01:19
21,truck,02-12-2021,08:01:23
22,car,02-12-2021,08:01:54
23,car,02-12-2021,08:01:54
24,truck,02-12-2021,08:02:13
25,truck,02-12-2021,08:02:14
26,car,02-12-2021,08:02:29
27,car,02-12-2021,08:02:34
28,car,02-12-2021,08:02:35
29,truck,02-12-2021,08:02:45
30,truck,02-12-2021,08:02:45
31,car,02-12-2021,08:02:50
32,car,02-12-2021,08:02:53
33,truck,02-12-2021,08:02:56
34,truck,02-12-2021,08:02:56
35,car,02-12-2021,08:02:59
36,truck,02-12-2021,08:03:03
37,truck,02-12-2021,08:03:03
38,truck,02-12-2021,08:03:03
39,car,02-12-2021,08:03:04
40,car,02-12-2021,08:03:04
41,car,02-12-2021,08:03:05
42,car,02-12-2021,08:03:05
43,truck,02-12-2021,08:03:07
44,car,02-12-2021,08:03:10
45,car,02-12-2021,08:03:16
46,car,02-12-2021,08:03:17
47,car,02-12-2021,08:03:17
48,car,02-12-2021,08:03:21
49,car,02-12-2021,08:03:23
50,car,02-12-2021,08:03:23
51,car,02-12-2021,08:03:28
52,car,02-12-2021,08:03:30
53,car,02-12-2021,08:03:32
54,car,02-12-2021,08:03:34
55,car,02-12-2021,08:03:36
56,truck,02-12-2021,08:03:40
57,truck,02-12-2021,08:03:40
58,car,02-12-2021,08:03:41
59,car,02-12-2021,08:03:41
60,truck,02-12-2021,08:03:42
61,car,02-12-2021,08:04:10
62,car,02-12-2021,08:04:10
63,car,02-12-2021,08:04:10
64,car,02-12-2021,08:04:29
65,car,02-12-2021,08:04:56
66,car,02-12-2021,08:04:56
67,car,02-12-2021,08:04:56
68,car,02-12-2021,08:04:56
69,car,02-12-2021,08:04:59
70,car,02-12-2021,08:05:02
71,car,02-12-2021,08:05:06
72,truck,02-12-2021,08:05:06
73,truck,02-12-2021,08:05:08
74,car,02-12-2021,08:05:10
75,car,02-12-2021,08:05:13
76,car,02-12-2021,08:05:13
77,car,02-12-2021,08:05:13
78,car,02-12-2021,08:05:13
79,car,02-12-2021,08:05:15
80,car,02-12-2021,08:05:21
81,car,02-12-2021,08:05:23
82,truck,02-12-2021,08:05:25
83,truck,02-12-2021,08:05:25
84,truck,02-12-2021,08:05:25
85,car,02-12-2021,08:05:28
86,car,02-12-2021,08:05:28
87,car,02-12-2021,08:05:47
88,truck,02-12-2021,08:05:48
